"Country or Area";"Year";"Unit";"Value";"Value Footnotes"
"Brunei Darussalam";"1999";"MILLION KWH";"2731";""
"Brunei Darussalam";"1998";"MILLION KWH";"2807";""
"Brunei Darussalam";"1997";"MILLION KWH";"2407";""
"Brunei Darussalam";"1996";"MILLION KWH";"2123";""
"Brunei Darussalam";"1995";"MILLION KWH";"1966";""
"Bulgaria";"2005";"MILLION KWH";"44362";""
"Bulgaria";"2004";"MILLION KWH";"41621";""
"Bulgaria";"2003";"MILLION KWH";"42600";""
"Bulgaria";"2002";"MILLION KWH";"42679";""
"Bulgaria";"2001";"MILLION KWH";"43969";""
"Bulgaria";"2000";"MILLION KWH";"40925";""
"Bulgaria";"1999";"MILLION KWH";"38250";""
"Bulgaria";"1998";"MILLION KWH";"41711";""
